"Google API", "Google Scope"
"Cloud Runtime Configuration API, v1", https://www.googleapis.com/auth/cloudruntimeconfig
"Cloud SQL Admin API, v1beta4", https://www.googleapis.com/auth/cloud-platform
"Cloud SQL Admin API, v1beta4", https://www.googleapis.com/auth/sqlservice.admin
"Cloud Scheduler API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.debug
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.indexing
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.query
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.settings
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.settings.indexing
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.settings.query
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.stats
"Cloud Search API, v1", https://www.googleapis.com/auth/cloud_search.stats.indexing
"Cloud Shell API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Source Repositories API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Source Repositories API, v1", https://www.googleapis.com/auth/source.full_control
"Cloud Source Repositories API, v1", https://www.googleapis.com/auth/source.read_only
"Cloud Source Repositories API, v1", https://www.googleapis.com/auth/source.read_write
"Cloud Spanner API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Spanner API, v1", https://www.googleapis.com/auth/spanner.admin
"Cloud Spanner API, v1", https://www.googleapis.com/auth/spanner.data
"Cloud Speech-to-Text API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Storage JSON API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Storage JSON API, v1", https://www.googleapis.com/auth/cloud-platform.read-only
"Cloud Storage JSON API, v1", https://www.googleapis.com/auth/devstorage.full_control
"Cloud Storage JSON API, v1", https://www.googleapis.com/auth/devstorage.read_only
"Cloud Storage JSON API, v1", https://www.googleapis.com/auth/devstorage.read_write
"Cloud TPU API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Tasks API, v2", https://www.googleapis.com/auth/cloud-platform
"Cloud Testing API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Testing API, v1", https://www.googleapis.com/auth/cloud-platform.read-only
"Cloud Text-to-Speech API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Tool Results API, v1beta3", https://www.googleapis.com/auth/cloud-platform
"Cloud Trace API, v2", https://www.googleapis.com/auth/cloud-platform
"Cloud Trace API, v2", https://www.googleapis.com/auth/trace.append
"Cloud Translation API, v3", https://www.googleapis.com/auth/cloud-platform
"Cloud Translation API, v3", https://www.googleapis.com/auth/cloud-translation
"Cloud Video Intelligence API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Vision API, v1", https://www.googleapis.com/auth/cloud-platform
"Cloud Vision API, v1", https://www.googleapis.com/auth/cloud-vision
"Compute Engine API, v1", https://www.googleapis.com/auth/cloud-platform
"Compute Engine API, v1", https://www.googleapis.com/auth/compute
"Compute Engine API, v1", https://www.googleapis.com/auth/compute.readonly
"Compute Engine API, v1", https://www.googleapis.com/auth/devstorage.full_control
